ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
19-1,00:0C:42:6C:39:42,11,2.462,31,-79
qurinet,22:22:22:22:22:22,11,2.462,23,-87
17-1,00:0C:42:65:C6:AB,11,2.462,30,-80
30-1,00:0C:42:65:C4:4F,11,2.462,24,-86
28-0,00:0C:42:6C:3D:49,1,2.412,36,-74
qurinet,22:22:22:22:22:22,1,2.412,35,-75
EF106,02:2D:CD:01:53:01,11,2.462,22,-88
EF106,02:2B:CB:AB:51:AB,11,2.462,23,-87
Call_530-621-0300_JZ,00:15:6D:64:E9:24,11,2.462,24,-86
vCore-TSBC01008930,00:0D:F0:99:B6:78,11,2.462,22,-88
EF106,02:2F:2F:2F:B5:2E,11,2.462,22,-88
EF106,02:2E:EE:03:74:03,11,2.462,22,-88
EF106,02:2F:AF:B1:35:B1,11,2.462,22,-88
EF106,02:25:95:74:1B:74,11,2.462,23,-87
EF106,02:2C:6C:C0:F2:BF,11,2.462,21,-89
Cerritos,00:15:6D:72:07:6F,11,2.462,20,-90
29-1,00:0C:42:6C:39:38,11,2.462,20,-90
Call_530-621-0300_LB,00:15:6D:69:0C:39,11,2.462,23,-87
EF106,02:2A:4A:1D:D0:1C,11,2.462,21,-89
EF106,02:2C:8C:55:12:55,11,2.462,22,-88
EF106,02:2B:3B:91:C1:90,11,2.462,22,-88
EF106,02:21:11:7F:97:7E,11,2.462,22,-88
,00:0A:DB:03:CD:80,11,2.462,22,-88
vCore-8002452,00:0E:8E:40:24:1B,11,2.462,23,-87
,00:0A:DB:01:D1:20,11,2.462,22,-88
DepotPark,00:0A:DB:01:D1:21,11,2.462,22,-88
EF106,02:27:47:14:CD:13,11,2.462,23,-87
17-0,00:0C:42:6C:3D:2F,1,2.412,40,-70
19-0,00:0C:42:6C:39:37,1,2.412,35,-75
berryessa19.valleyinternet.com,00:27:22:4E:4F:42,7,2.442,32,-78
Volcano-VIP-8a,00:15:6D:67:71:E2,11,2.462,20,-90
spanishflat.valleyinternet.com,00:27:22:C2:C4:C9,3,2.422,30,-80
ATIRC-AHMCT-AP1,00:27:22:32:3E:FF,3,2.422,23,-87
