ESSID,Mac,Channel,Frequency(Ghz),Quality,Signal(dBm)
30-0,00:0C:42:6C:3D:25,1,2.412,21,-89
qurinet,22:22:22:22:22:22,1,2.412,32,-78
17-0,00:0C:42:6C:3D:2F,1,2.412,35,-75
19-0,00:0C:42:6C:39:37,1,2.412,31,-79
Randi,CC:05:1B:77:96:7E,1,2.412,21,-89
qurinet,22:22:22:22:22:22,11,2.462,27,-83
vCore-8002503,00:0E:8E:3F:0A:50,1,2.412,22,-88
28-1,00:0C:42:67:89:CC,11,2.462,70,-39
SYNC_00000000,00:26:B4:22:53:5A,1,2.412,22,-88
37-0,00:0C:42:65:C6:74,1,2.412,31,-79
Call_530-621-0300_CT,00:15:6D:69:0C:3C,1,2.412,22,-88
,D8:96:85:80:16:02,1,2.412,20,-90
Call_530-621-0300_GR,00:27:22:12:16:45,1,2.412,20,-90
B,F8:DB:7F:46:69:46,1,2.412,22,-88
,D8:96:85:80:AB:94,1,2.412,23,-87
www.ubnt.com,00:27:22:9C:87:8A,1,2.412,22,-88
SGD-ValleyInternet.com,00:27:22:9C:87:8A,1,2.412,21,-89
skyfi,02:19:D2:00:01:F5,1,2.412,21,-89
S1D-ValleyInternet.com,00:27:22:9C:87:8A,1,2.412,20,-90
SMD-ValleyInternet.com,00:27:22:9C:87:8A,1,2.412,22,-88
AMREPCR,00:A0:D5:12:3E:54,1,2.412,24,-86
SYNC_XN280THJ,00:26:B4:14:8E:BE,1,2.412,22,-88
,D8:96:85:80:9E:8E,1,2.412,22,-88
,D8:96:85:80:C1:E4,1,2.412,22,-88
AMREPCR,00:A0:D5:12:3E:88,1,2.412,21,-89
EVO 4G LTE 85 C4 A6,1C:B0:94:85:C4:A6,1,2.412,24,-86
SYNC_XN9U26ZF,00:26:B4:1C:03:B6,1,2.412,23,-87
GUESTNET,00:3A:99:EC:29:50,1,2.412,21,-89
EVO 7A39F6,90:21:55:7A:39:F6,1,2.412,24,-86
AMREPCR,00:A0:D5:12:44:3F,1,2.412,21,-89
AMREPCR,00:A0:D5:12:3E:E9,1,2.412,21,-89
iPhone,F2:DC:E2:CC:A7:16,1,2.412,22,-88
29-0,00:0C:42:6C:3A:6D,1,2.412,20,-90
SYNC_00000000,00:26:B4:22:CA:94,1,2.412,24,-86
The Nexus,48:5B:39:E6:B8:6C,1,2.412,21,-89
WintersBroadbandDAW,00:19:70:38:1B:1B,1,2.412,22,-88
sierra082,00:A0:D5:12:37:3C,1,2.412,23,-87
Cerritos,00:15:6D:72:07:6F,1,2.412,21,-89
cfvdw07-17440,1E:03:8B:01:20:01,1,2.412,21,-89
MiFi4620L Jetpack 83DD Secure,00:15:FF:16:83:DD,1,2.412,21,-89
WLANRF,00:3A:99:EC:29:52,1,2.412,20,-90
,D8:96:85:81:D4:77,1,2.412,21,-89
Verizon MIFI4510L 102F Secure,00:15:FF:25:10:2F,1,2.412,22,-88
SYNC_00000000,00:26:B4:22:56:A2,1,2.412,22,-88
17-1,00:0C:42:65:C6:AB,11,2.462,27,-83
19-1,00:0C:42:6C:39:42,11,2.462,33,-77
30-1,00:0C:42:65:C4:4F,11,2.462,24,-86
spanishflat.valleyinternet.com,00:27:22:C2:C4:C9,3,2.422,30,-80
Mountain Research Labs,10:0D:7F:7C:F1:AC,6,2.437,24,-86
hoover6,00:15:6D:63:29:BB,3,2.422,20,-90
